Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.33 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#502    Date: 17/11/30    Time: 09:50:38
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9971E-02  +8.9223E+01   
+5.5579E-01  +1.9904E-02  +8.8989E+01   
+7.7227E-01  +1.9967E-02  +8.8596E+01   
+1.0731E+00  +1.9929E-02  +8.8104E+01   
+1.4910E+00  +1.9861E-02  +8.7386E+01   
+2.0718E+00  +1.9867E-02  +8.6406E+01   
+2.8787E+00  +1.9842E-02  +8.5034E+01   
+4.0000E+00  +1.9764E-02  +8.3056E+01   
+5.5580E+00  +1.9623E-02  +8.0497E+01   
+7.7228E+00  +1.9382E-02  +7.6884E+01   
+1.0731E+01  +1.8942E-02  +7.2087E+01   
+1.4910E+01  +1.8126E-02  +6.5801E+01   
+2.0718E+01  +1.6896E-02  +5.7933E+01   
+2.8787E+01  +1.5038E-02  +4.9034E+01   
+4.0000E+01  +1.2708E-02  +3.9635E+01   
+5.5580E+01  +1.0234E-02  +3.0759E+01   
+7.7228E+01  +7.8741E-03  +2.2938E+01   
+1.0731E+02  +5.8923E-03  +1.6744E+01   
+1.4910E+02  +4.3236E-03  +1.1942E+01   
+2.0718E+02  +3.1545E-03  +8.1811E+00   
+2.8787E+02  +2.2829E-03  +5.2940E+00   
+4.0000E+02  +1.6465E-03  +2.9949E+00   
+5.5580E+02  +1.1859E-03  +9.9899E-01   
+7.7228E+02  +8.5349E-04  -8.4254E-01   
+1.0731E+03  +6.1381E-04  -2.7659E+00   
+1.4910E+03  +4.4131E-04  -4.9742E+00   
+2.0718E+03  +3.1617E-04  -7.5311E+00   
+2.8787E+03  +2.2724E-04  -1.1246E+01   
+4.0000E+03  +1.6247E-04  -1.6017E+01   
+5.5580E+03  +1.1568E-04  -2.2667E+01   
+7.7228E+03  +8.0353E-05  -3.1960E+01   
+1.0731E+04  +5.3887E-05  -4.3565E+01   
+1.4910E+04  +3.4566E-05  -5.7257E+01   
+2.0718E+04  +2.1317E-05  -7.0979E+01   
+2.8787E+04  +1.3697E-05  -8.8915E+01   
+4.0000E+04  +8.4511E-06  -1.1736E+02   
+5.5580E+04  +4.3889E-06  -1.5430E+02   
+6.0000E+04  +3.6285E-06  -1.6270E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0864E-02  +1.4734E+02   
+5.5579E-01  +1.3456E-02  +1.3835E+02   
+7.7227E-01  +1.5861E-02  +1.2880E+02   
+1.0731E+00  +1.7730E-02  +1.1943E+02   
+1.4910E+00  +1.9028E-02  +1.1108E+02   
+2.0718E+00  +1.9837E-02  +1.0392E+02   
+2.8787E+00  +2.0269E-02  +9.7768E+01   
+4.0000E+00  +2.0444E-02  +9.2166E+01   
+5.5580E+00  +2.0446E-02  +8.6845E+01   
+7.7228E+00  +2.0244E-02  +8.1180E+01   
+1.0731E+01  +1.9769E-02  +7.4758E+01   
+1.4910E+01  +1.8936E-02  +6.7210E+01   
+2.0718E+01  +1.7500E-02  +5.8591E+01   
+2.8787E+01  +1.5470E-02  +4.8890E+01   
+4.0000E+01  +1.2989E-02  +3.9010E+01   
+5.5580E+01  +1.0360E-02  +3.0041E+01   
+7.7228E+01  +7.9268E-03  +2.2405E+01   
+1.0731E+02  +5.9154E-03  +1.6290E+01   
+1.4910E+02  +4.3316E-03  +1.1531E+01   
+2.0718E+02  +3.1552E-03  +7.9765E+00   
+2.8787E+02  +2.2839E-03  +5.1658E+00   
+4.0000E+02  +1.6478E-03  +2.9375E+00   
+5.5580E+02  +1.1870E-03  +9.8000E-01   
+7.7228E+02  +8.5448E-04  -8.3608E-01   
+1.0731E+03  +6.1466E-04  -2.7429E+00   
+1.4910E+03  +4.4197E-04  -4.9281E+00   
+2.0718E+03  +3.1749E-04  -7.6479E+00   
+2.8787E+03  +2.2768E-04  -1.1193E+01   
+4.0000E+03  +1.6280E-04  -1.5947E+01   
+5.5580E+03  +1.1592E-04  -2.2566E+01   
+7.7228E+03  +8.0593E-05  -3.1796E+01   
+1.0731E+04  +5.4130E-05  -4.3403E+01   
+1.4910E+04  +3.4769E-05  -5.7125E+01   
+2.0718E+04  +2.1457E-05  -7.0904E+01   
+2.8787E+04  +1.3802E-05  -8.8920E+01   
+4.0000E+04  +8.5185E-06  -1.1754E+02   
+5.5580E+04  +4.4132E-06  -1.5465E+02   
+6.0000E+04  +3.6494E-06  -1.6304E+02   

