Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

 Magnetometer: MFS-06E #5   Date: 01/12/06  Time:11:23:02


FREQUENCY    MAGNITUDE    PHASE
Hz           V/(nT*Hz)    deg
Chopper On
1.000000E-1  2.000300E-1   8.856300E+1
1.258900E-1  1.996900E-1   8.819700E+1
1.584900E-1  2.003300E-1   8.774700E+1
1.995300E-1  1.999100E-1   8.716300E+1
2.511900E-1  1.997100E-1   8.643400E+1
3.162300E-1  1.992900E-1   8.552800E+1
3.981100E-1  1.990300E-1   8.440200E+1
5.011900E-1  1.983600E-1   8.296400E+1
6.309500E-1  1.972500E-1   8.121700E+1
7.943000E-1  1.962000E-1   7.898900E+1
1.000000E+0  1.942400E-1   7.632500E+1
1.258900E+0  1.910100E-1   7.288600E+1
1.584900E+0  1.867500E-1   6.888700E+1
1.995200E+0  1.797200E-1   6.405300E+1
2.511900E+0  1.702900E-1   5.847600E+1
3.162300E+0  1.583400E-1   5.239700E+1
3.981000E+0  1.440300E-1   4.612500E+1
5.011800E+0  1.269300E-1   3.946200E+1
6.309500E+0  1.093300E-1   3.320800E+1
7.943000E+0  9.207700E-2   2.762800E+1
1.000000E+1  7.593000E-2   2.226500E+1
1.258900E+1  6.198400E-2   1.805200E+1
1.584900E+1  5.028600E-2   1.457500E+1
1.995200E+1  4.032500E-2   1.145000E+1
2.511900E+1  3.224200E-2   9.148600E+0
3.162200E+1  2.580400E-2   7.120800E+0
3.981000E+1  2.056300E-2   5.552400E+0
5.011800E+1  1.629400E-2   3.943400E+0
6.309500E+1  1.297700E-2   3.108600E+0
7.943000E+1  1.032000E-2   2.243800E+0
1.000000E+2  8.203400E-3   1.453800E+0
1.258900E+2  6.519000E-3   7.592800E-1
1.584900E+2  5.166400E-3   1.673200E-1
1.995200E+2  4.114400E-3  -6.258400E-1
2.511800E+2  3.271400E-3  -1.429500E+0
3.162200E+2  2.590800E-3  -2.539900E+0
3.981000E+2  2.048200E-3  -3.152500E+0
5.011800E+2  1.626700E-3  -4.082700E+0
6.309400E+2  1.290500E-3  -5.285400E+0
7.943000E+2  1.022600E-3  -6.803300E+0
1.000000E+3  8.104300E-4  -8.638900E+0
1.258900E+3  6.405100E-4  -1.098200E+1
1.584900E+3  5.050800E-4  -1.393100E+1
1.995200E+3  3.947500E-4  -1.779500E+1
2.511800E+3  3.069200E-4  -2.128000E+1
3.162200E+3  2.381400E-4  -2.745100E+1
3.981000E+3  1.780800E-4  -3.503300E+1
5.011700E+3  1.234300E-4  -4.352800E+1
6.309400E+3  7.996700E-5  -4.372700E+1
7.943000E+3  6.394200E-5  -4.434400E+1
9.999500E+3  4.845400E-5  -5.360400E+1
1.000000E+4  4.845700E-5  -5.360700E+1

FREQUENCY    MAGNITUDE    PHASE
Hz           V/(nT*Hz)    deg
Chopper Off
1.000000E+0  1.831400E-1   1.150600E+2
1.258900E+0  1.956800E-1   1.042500E+2
1.584900E+0  2.015400E-1   9.307700E+1
1.995300E+0  2.003600E-1   8.238600E+1
2.511900E+0  1.920300E-1   7.155200E+1
3.162300E+0  1.771000E-1   6.103000E+1
3.981100E+0  1.578200E-1   5.123800E+1
5.011900E+0  1.373100E-1   4.254200E+1
6.309500E+0  1.157500E-1   3.473200E+1
7.943000E+0  9.539600E-2   2.795300E+1
1.000000E+1  7.813600E-2   2.257700E+1
1.258900E+1  6.320200E-2   1.815000E+1
1.584900E+1  5.080000E-2   1.450900E+1
1.995200E+1  4.061400E-2   1.135900E+1
2.511900E+1  3.246900E-2   9.066400E+0
3.162300E+1  2.581000E-2   6.997400E+0
3.981000E+1  2.052200E-2   5.476900E+0
5.011800E+1  1.644200E-2   4.173200E+0
6.309500E+1  1.299900E-2   3.013000E+0
7.943000E+1  1.034300E-2   2.130800E+0
1.000000E+2  8.210100E-3   1.402900E+0
1.258900E+2  6.519800E-3   6.867200E-1
1.584900E+2  5.177700E-3  -1.593900E-1
1.995200E+2  4.121700E-3  -7.037300E-1
2.511900E+2  3.277000E-3  -1.379900E+0
3.162200E+2  2.592400E-3  -2.541500E+0
3.981000E+2  2.050400E-3  -3.148100E+0
5.011800E+2  1.627600E-3  -4.069500E+0
6.309500E+2  1.292600E-3  -5.281500E+0
7.943000E+2  1.025100E-3  -6.752900E+0
1.000000E+3  8.117400E-4  -8.652500E+0
1.258900E+3  6.420200E-4  -1.099300E+1
1.584900E+3  5.055700E-4  -1.398500E+1
1.995200E+3  3.952000E-4  -1.781800E+1
2.511800E+3  3.067400E-4  -2.115400E+1
3.162200E+3  2.386400E-4  -2.741700E+1
3.981000E+3  1.785600E-4  -3.507500E+1
5.011800E+3  1.237500E-4  -4.366700E+1
6.309400E+3  7.998700E-5  -4.393700E+1
7.943000E+3  6.390900E-5  -4.445700E+1
1.000000E+4  4.842300E-5  -5.372400E+1

