Name,Country,Frequency_kHz,Latitude,Longitude
HWU,France,15.1,51.081111,3.342778
GQD,UK,19.6,54.911683,-3.278738
JXN,Norway,16.4,66.982337,13.872471
SAQ,Sweden,17.2,57.113958,12.404425
ICV,Italy,20.3,40.923127,9.731011
FTA2,France,20.9,48.544632,2.579429
RJH69,Belarus,20.5,54.463204,26.775827
GVT,UK,22.1,32.092247,130.829095
DHO38,Germany,23.4,53.087341,7.608652
TBB,Turkey,26.7,37.412725,27.323342
TFK,Iceland,37.5,63.850833,-22.451667
SRC,Sweden,40.4,57.113958,12.404425
NSY,Italy,45.9,37.125654,14.436325
SXA,Greece,49.0,38.145186,24.019703
LBH,Norway,57.7,62.785927,6.90083
MSF,UK,60.0,54.91,-3.28
Italian_Navy,Italy,65.25,41.975452,-12.359494
DCF77,Germany,77.5,50.014234,9.011487
SAS2,Sweden,42.5,60.524275,18.012192
SAS3,Sweden,44.2,,,
RNAS_Rattray,UK,82.8,57.617467,-1.887617
RNAS_Inskip,UK,61.84,53.830074,-2.834262
FTA2_alt,France,16.9,48.544910,2.576294
La_Regine,France,62.6,43.386781,2.097364
Kerlouan,France,62.6,48.637736,-4.350769
REN,Spain,145.0,38.071871,-0.664625
