Name,Location,Frequency_kHz,Latitude,Longitude,Power_kW,L_value,UT_midnight_MLT
HWU,"Rosnay, France",18.3,46.714119,1.244309,200,1.81,23.22
GQD,"Anthorn, Cumbria, UK",19.6,54.911683,-3.278738,100,2.66,23.39
NWC,"Exmouth, W. Australia",19.8,-21.816325,114.16546,1000,1.42,16.70
ICV,"Isola di Tavolara, Italy",20.3,40.923127,9.731011,50,1.48,22.73
FTA2,"Sainte Assise, France",20.9,48.544632,2.579429,50,1.95,23.11
NPM,"Lualualei, Hawaii, USA",21.4,21.420382,-158.153912,600,1.17,11.04
GVT,"Penrith, UK",22.1,54.731799,-2.883033,100,2.64,23.36
JJI,"Ebino, Japan",22.2,32.092247,130.829095,100,1.25,15.57
DHO38,"Rhauderfehn, Germany",23.4,53.087341,7.608652,300,2.38,22.72
NAA,"Cutler, Maine, USA",24.0,44.644506,-67.284565,1000,2.74,4.27
NLK,"Seattle, Washington, USA",24.8,48.203633,-121.916828,250,2.88,8.63
unid25,"Mokpo, South Korea",25.0,34.679068,126.445383,250,1.32,15.84
NML,"LaMoure, North Dakota, USA",25.2,46.365987,-98.335667,250,3.19,6.76
TBB,"Bafa, Turkey",26.7,37.412725,27.323342,100,1.39,21.65
